団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数,人口
084433,茨城県,阿見町,0.89,91.7,4.2,-,97.7,49161
084476,茨城県,河内町,0.34,92.6,6.4,-,95.0,8140
085219,茨城県,八千代町,0.61,88.7,6.8,19.8,99.4,21224
085421,茨城県,五霞町,0.81,94.9,13.5,16.6,94.8,8112
085464,茨城県,境町,0.67,86.9,12.8,64.2,95.4,24785
085642,茨城県,利根町,0.40,90.1,1.3,-,98.2,15409
092011,栃木県,宇都宮市,0.97,92.1,3.9,43.1,101.7,517497
092029,栃木県,足利市,0.75,88.2,4.7,-,99.2,142510
092037,栃木県,栃木市,0.71,92.9,8.1,20.9,98.9,155669
092045,栃木県,佐野市,0.71,92.1,2.1,-,98.1,115088
092053,栃木県,鹿沼市,0.69,89.6,1.8,-,99.3,94606
092061,栃木県,日光市,0.56,97.3,8.1,50.6,97.5,77546
092088,栃木県,小山市,0.95,89.0,6.2,78.7,98.4,167277
092096,栃木県,真岡市,0.84,88.4,5.0,-,99.5,79391
092100,栃木県,大田原市,0.64,94.1,6.2,37.0,98.7,69455
092118,栃木県,矢板市,0.66,89.8,8.6,7.3,97.4,30946
092134,栃木県,那須塩原市,0.77,93.5,3.0,-,98.5,116733
092142,栃木県,さくら市,0.71,93.6,7.8,-,98.0,43984
092151,栃木県,那須烏山市,0.45,87.1,7.0,-,98.2,24601
092169,栃木県,下野市,0.70,89.8,2.9,-,98.7,60140
093017,栃木県,上三川町,0.95,83.5,6.6,-,96.9,30886
093424,栃木県,益子町,0.55,86.9,7.0,5.0,95.7,21876
093432,栃木県,茂木町,0.38,90.6,8.2,0.8,96.6,11977
093441,栃木県,市貝町,0.68,91.1,5.7,-,98.6,11397
093459,栃木県,芳賀町,1.01,81.6,1.7,38.9,100.4,15549
093611,栃木県,壬生町,0.81,82.4,5.6,-,98.9,38600
093645,栃木県,野木町,0.78,88.9,7.3,-,97.6,25164
093840,栃木県,塩谷町,0.44,77.4,3.6,-,97.4,10322
093866,栃木県,高根沢町,0.76,82.4,1.4,-,98.4,29074
094072,栃木県,那須町,0.71,90.4,7.1,12.2,96.6,24281
094111,栃木県,那珂川町,0.38,86.6,8.1,-,96.4,14865
102016,群馬県,前橋市,0.79,95.6,8.2,59.3,99.1,331771
102024,群馬県,高崎市,0.82,96.7,4.2,29.5,99.7,369314
102032,群馬県,桐生市,0.56,94.9,4.4,-,99.3,104647
102041,群馬県,伊勢崎市,0.83,93.9,5.5,6.4,98.6,212128
102059,群馬県,太田市,0.95,91.0,6.0,24.3,99.6,222403
102067,群馬県,沼田市,0.50,95.9,6.5,55.0,98.5,45305
102075,群馬県,館林市,0.82,94.8,5.6,85.3,95.2,74427
102083,群馬県,渋川市,0.57,95.6,4.3,3.3,99.1,73968
102091,群馬県,藤岡市,0.65,90.5,6.1,-,99.8,62884
102105,群馬県,富岡市,0.63,94.6,7.7,-,99.0,46427
102113,群馬県,安中市,0.77,92.5,7.6,-,98.8,55245
102121,群馬県,みどり市,0.62,99.4,4.1,-,95.4,49423
103446,群馬県,榛東村,0.53,91.5,7.7,-,95.7,14610
103454,群馬県,吉岡町,0.68,90.5,7.2,0.5,98.0,22371
103667,群馬県,上野村,0.85,70.7,6.1,-,90.0,1075
103675,群馬県,神流町,0.14,93.1,6.9,-,90.3,1641
103829,群馬県,下仁田町,0.26,87.7,8.1,-,97.8,6549
103837,群馬県,南牧村,0.14,83.3,3.0,-,92.3,1578
103845,群馬県,甘楽町,0.46,88.0,8.0,9.3,96.8,12601
104213,群馬県,中之条町,0.36,92.1,11.2,-,96.7,14938
104248,群馬県,長野原町,0.48,78.7,10.6,-,99.0,5326
104256,群馬県,嬬恋村,0.43,90.9,10.5,-,97.4,9174
104264,群馬県,草津町,0.61,87.3,4.0,-,95.8,6082
104281,群馬県,高山村,0.31,87.9,7.7,-,96.3,3331
104299,群馬県,東吾妻町,0.37,93.4,11.2,19.7,98.2,12661
104434,群馬県,片品村,0.24,82.1,5.5,-,94.4,4088
104442,群馬県,川場村,0.24,81.5,9.9,91.9,97.0,3105
104485,群馬県,昭和村,0.43,82.5,4.7,-,98.1,7007
104493,群馬県,みなかみ町,0.40,95.1,9.7,-,97.1,17602
104647,群馬県,玉村町,0.74,86.7,3.5,-,97.9,35980
105210,群馬県,板倉町,0.61,90.1,6.5,-,95.1,13880
105228,群馬県,明和町,0.82,74.6,8.9,1.3,96.8,10875
105236,群馬県,千代田町,0.74,94.9,5.4,-,95.9,11021
105244,群馬県,大泉町,0.96,95.6,4.2,-,97.2,41729
105252,群馬県,邑楽町,0.74,85.7,6.7,-,98.4,25810
111007,埼玉県,さいたま市,0.96,95.6,6.6,16.4,101.6,1339333
112011,埼玉県,川越市,0.95,98.9,6.4,63.1,101.7,353183
112020,埼玉県,熊谷市,0.85,89.3,▲ 1.0,-,101.2,193132
112038,埼玉県,川口市,0.94,97.8,3.1,6.7,101.2,604715
112062,埼玉県,行田市,0.68,90.1,2.7,-,98.4,78741
112071,埼玉県,秩父市,0.56,85.1,3.2,-,100.0,59244
112089,埼玉県,所沢市,0.95,92.7,4.7,-,101.3,344070
112097,埼玉県,飯能市,0.73,91.1,4.8,19.4,97.9,78445
112101,埼玉県,加須市,0.73,91.3,5.1,-,99.0,112179
112119,埼玉県,本庄市,0.73,94.7,3.7,-,98.7,77526
112127,埼玉県,東松山市,0.83,93.2,3.6,12.1,98.4,90651
112143,埼玉県,春日部市,0.73,95.7,2.8,9.9,98.4,231726
112151,埼玉県,狭山市,0.87,93.6,5.6,-,101.2,149360
112160,埼玉県,羽生市,0.78,91.9,9.4,51.4,97.5,53951
112178,埼玉県,鴻巣市,0.67,93.9,4.2,6.1,100.7,117798
112186,埼玉県,深谷市,0.73,87.9,▲ 2.0,-,99.1,141681
112194,埼玉県,上尾市,0.88,95.1,4.7,-,101.5,230229
112216,埼玉県,草加市,0.90,96.3,4.3,26.9,100.7,250966
112224,埼玉県,越谷市,0.89,89.0,6.0,2.1,103.3,343866
112232,埼玉県,蕨市,0.85,87.2,4.8,-,101.5,75282
112241,埼玉県,戸田市,1.20,84.9,8.3,19.8,99.7,141887
112259,埼玉県,入間市,0.89,97.7,3.9,2.5,100.9,145718
112275,埼玉県,朝霞市,0.97,93.8,4.9,11.1,100.7,144062
112283,埼玉県,志木市,0.82,94.7,2.2,4.7,99.6,76416
112291,埼玉県,和光市,1.04,89.9,4.9,34.4,100.8,83962
112305,埼玉県,新座市,0.89,95.6,5.2,16.3,99.6,165730
112313,埼玉県,桶川市,0.76,92.6,5.7,29.0,99.3,74680
112321,埼玉県,久喜市,0.83,90.8,4.3,-,97.0,150987
112330,埼玉県,北本市,0.75,91.8,7.9,-,100.5,65751
112348,埼玉県,八潮市,1.00,84.6,7.0,45.3,100.1,92365
112356,埼玉県,富士見市,0.80,90.5,2.5,-,98.5,112839
112372,埼玉県,三郷市,0.92,93.7,7.5,42.7,98.6,142410
112381,埼玉県,蓮田市,0.73,89.6,3.7,-,100.3,61211
112399,埼玉県,坂戸市,0.80,90.4,7.8,-,100.1,99763
112402,埼玉県,幸手市,0.70,93.9,3.8,25.5,99.0,49404
112411,埼玉県,鶴ケ島市,0.83,91.1,6.4,-,98.2,70190
112429,埼玉県,日高市,0.83,91.7,3.9,-,99.5,54615
112437,埼玉県,吉川市,0.82,92.0,6.6,-,99.5,73001
112453,埼玉県,ふじみ野市,0.77,95.7,2.2,-,97.8,114156
112461,埼玉県,白岡市,0.81,89.3,4.6,-,98.1,52748
113018,埼玉県,伊奈町,0.82,91.6,6.2,-,98.8,45221
113247,埼玉県,三芳町,1.05,85.5,10.2,64.1,98.6,37738
113263,埼玉県,毛呂山町,0.60,91.9,8.4,26.7,96.9,32616
113271,埼玉県,越生町,0.48,88.9,4.9,2.5,97.5,11074
113417,埼玉県,滑川町,0.84,87.3,7.7,7.6,100.3,19711
113425,埼玉県,嵐山町,0.74,82.2,9.2,42.7,98.6,17596
113433,埼玉県,小川町,0.61,89.6,6.3,28.3,100.8,28244
113468,埼玉県,川島町,0.75,86.8,3.5,-,97.7,19188
113476,埼玉県,吉見町,0.65,86.8,5.5,-,97.9,18117
113484,埼玉県,鳩山町,0.53,87.2,11.2,90.3,95.2,13158
113492,埼玉県,ときがわ町,0.39,90.9,4.9,-,97.7,10589
113611,埼玉県,横瀬町,0.50,83.7,7.0,36.9,96.7,7835
113620,埼玉県,皆野町,0.39,79.8,6.3,-,93.2,9236
113638,埼玉県,長瀞町,0.38,76.7,11.4,-,94.2,6660
113654,埼玉県,小鹿野町,0.31,87.7,8.4,18.5,94.8,10622
113697,埼玉県,東秩父村,0.19,86.0,2.5,-,95.4,2548
113816,埼玉県,美里町,0.63,77.7,8.0,-,97.5,10916
113832,埼玉県,神川町,0.49,84.1,8.2,-,99.7,13122
113859,埼玉県,上里町,0.75,91.5,9.2,-,97.8,30554
114081,埼玉県,寄居町,0.79,80.7,3.2,12.5,97.5,32237
114421,埼玉県,宮代町,0.60,92.4,6.1,-,95.3,33514
114642,埼玉県,杉戸町,0.74,89.3,7.0,-,96.0,44168
114651,埼玉県,松伏町,0.62,83.1,5.8,6.4,99.2,28398
121002,千葉県,千葉市,0.91,98.1,10.6,125.0,100.7,977016
122025,千葉県,銚子市,0.59,91.0,12.2,67.8,98.7,56373
122033,千葉県,市川市,1.07,91.2,1.7,-,101.5,491577
122041,千葉県,船橋市,0.93,93.1,3.4,-,99.7,647037
122050,千葉県,館山市,0.55,94.9,6.1,21.2,99.4,44677
122068,千葉県,木更津市,0.85,91.7,4.3,-,101.6,136303
122076,千葉県,松戸市,0.86,92.7,1.7,5.6,101.1,497120
122084,千葉県,野田市,0.82,92.6,4.7,3.3,98.7,153661
122106,千葉県,茂原市,0.78,95.6,11.0,81.9,100.6,87358
122114,千葉県,成田市,1.29,88.6,9.3,90.1,100.9,130944
122122,千葉県,佐倉市,0.89,92.6,1.6,-,99.0,171460
122131,千葉県,東金市,0.67,86.8,3.1,12.9,100.0,57268
122157,千葉県,旭市,0.49,92.2,9.5,-,98.6,63379
122165,千葉県,習志野市,0.91,97.6,6.8,24.2,101.2,174812
122173,千葉県,柏市,0.93,89.8,2.0,-,102.6,433733
122181,千葉県,勝浦市,0.47,94.9,6.8,3.6,100.6,16097
122190,千葉県,市原市,1.05,88.2,5.4,0.7,100.5,270085
122203,千葉県,流山市,0.93,88.1,1.4,36.6,102.3,208401
122211,千葉県,八千代市,0.92,95.0,6.3,6.1,103.4,204717
122220,千葉県,我孫子市,0.77,92.9,2.0,-,98.8,130964
122238,千葉県,鴨川市,0.50,98.7,9.8,83.0,99.6,31277
122246,千葉県,鎌ケ谷市,0.74,95.4,4.9,32.2,101.6,109564
122254,千葉県,君津市,1.02,94.9,3.4,27.8,99.4,81176
122262,千葉県,富津市,0.89,91.1,7.9,46.6,102.8,41773
122271,千葉県,浦安市,1.43,89.3,7.5,29.8,101.6,169552
122289,千葉県,四街道市,0.77,88.9,1.6,-,100.2,96226
122297,千葉県,袖ケ浦市,1.09,89.6,3.3,7.5,99.5,65659
122301,千葉県,八街市,0.64,94.8,6.6,34.5,99.6,67396
122319,千葉県,印西市,1.06,85.7,0.2,-,99.4,109953
122327,千葉県,白井市,0.86,89.7,4.6,42.5,101.2,62845
122335,千葉県,富里市,0.76,93.0,7.1,-,99.0,49404
122343,千葉県,南房総市,0.31,94.6,8.9,-,99.7,35593
122351,千葉県,匝瑳市,0.47,93.7,6.8,9.7,102.0,34338
122360,千葉県,香取市,0.51,88.8,8.8,18.7,100.3,71868
122378,千葉県,山武市,0.48,93.4,5.8,-,101.4,49103
122386,千葉県,いすみ市,0.41,90.9,6.7,15.1,99.7,35896
122394,千葉県,大網白里市,0.60,99.5,9.1,45.2,99.3,48417
123226,千葉県,酒々井町,0.74,94.6,5.7,12.5,98.0,20339
123293,千葉県,栄町,0.53,94.7,4.8,-,97.1,19933
123421,千葉県,神崎町,0.40,83.9,3.7,-,100.4,5761
123471,千葉県,多古町,0.54,85.7,5.8,-,99.4,13813
123498,千葉県,東庄町,0.42,86.0,5.5,-,99.7,13125
124036,千葉県,九十九里町,0.43,85.0,7.5,-,102.1,14625
124095,千葉県,芝山町,1.00,82.1,6.3,-,103.0,6905
124109,千葉県,横芝光町,0.45,89.9,5.2,-,98.6,22697
124214,千葉県,一宮町,0.54,87.0,4.4,-,100.3,12304
